[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ac.class [ 67/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aca.class [ 68/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acb.class [ 69/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acc.class [ 70/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acd.class [ 71/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ace.class [ 72/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acf.class [ 73/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acg.class [ 74/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ach.class [ 75/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aci.class [ 76/4976 | 1% ]
[Sun Mar 15 11:08:45 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acj.class [ 77/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\ack.class [ 78/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acl.class [ 79/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acm.class [ 80/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acn.class [ 81/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\aco.class [ 82/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acq.class [ 83/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acr.class [ 84/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acs.class [ 85/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\act.class [ 86/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acu.class [ 87/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acv.class [ 88/4976 | 1% ]
[Sun Mar 15 11:08:46 GMT 2020] [Deobfer/INFO] : Remapping file: .\testdata\client\acw.class [ 89/4976 | 1% ]
